Dash
Date,Open,High,Low,Close
Dec 23 2016,9.77,9.90,9.24,9.56
Dec 22 2016,9.84,9.93,9.21,9.79
Dec 21 2016,10.23,10.27,9.78,9.81
Dec 20 2016,10.33,10.51,10.22,10.22
Dec 19 2016,9.88,10.53,9.87,10.32
Dec 18 2016,9.72,9.94,9.64,9.89
Dec 17 2016,9.87,9.91,9.39,9.74
Dec 16 2016,9.29,9.98,9.17,9.89
Dec 15 2016,9.18,9.39,9.08,9.30
Dec 14 2016,9.40,9.42,9.10,9.16
Dec 13 2016,9.07,9.43,9.05,9.39
Dec 12 2016,9.52,9.66,9.07,9.10
Dec 11 2016,8.88,9.59,8.78,9.54
Dec 10 2016,8.84,8.93,8.81,8.88
Dec 09 2016,8.75,8.85,8.72,8.83
Dec 08 2016,8.69,8.79,8.66,8.75
Dec 07 2016,8.78,8.82,8.66,8.68
Dec 06 2016,8.56,8.81,8.49,8.80
Dec 05 2016,8.80,8.90,8.48,8.56
Dec 04 2016,8.87,9.01,8.66,8.82
Dec 03 2016,8.64,8.92,8.61,8.88
Dec 02 2016,8.75,8.86,8.61,8.66
Dec 01 2016,8.91,8.94,8.70,8.74
Nov 30 2016,8.82,8.95,8.75,8.91
Nov 29 2016,8.96,9.05,8.62,8.82
Nov 28 2016,9.07,9.14,8.95,8.96
Nov 27 2016,8.90,9.17,8.89,9.09
Nov 26 2016,9.11,9.13,8.79,8.90
Nov 25 2016,9.14,9.18,8.76,9.10
Nov 24 2016,8.44,9.14,8.34,9.13
Nov 23 2016,8.67,8.73,8.47,8.51
Nov 22 2016,8.58,8.84,8.55,8.63
Nov 21 2016,8.49,8.62,8.41,8.58
Nov 20 2016,8.50,8.61,8.32,8.51
Nov 19 2016,8.96,8.97,8.42,8.48
Nov 18 2016,9.02,9.11,8.79,8.95
Nov 17 2016,9.44,9.46,9.01,9.02
Nov 16 2016,9.64,9.67,9.10,9.45
Nov 15 2016,9.70,9.73,9.50,9.64
Nov 14 2016,9.54,9.74,9.45,9.68
Nov 13 2016,9.63,9.72,9.40,9.49
Nov 12 2016,9.69,9.86,9.56,9.64
Nov 11 2016,9.65,9.74,9.51,9.67
Nov 10 2016,9.67,9.76,9.53,9.67
Nov 09 2016,9.73,10.00,9.40,9.70
Nov 08 2016,9.88,10.49,9.70,9.76
