Mean,Standard Deviation
4.582687144949461e+28,2.6113918786571663e+29
8.54070644603498e+29,4.682687469693908e+30
4.3179541676813055e+22,2.3661147414249794e+23
4.100109200384548e+28,2.3215022994659975e+29
7.709629500139446e+29,4.2234583741805465e+30
4.224297493058799e+34,2.6195871320328778e+35
7.397276954018817e+35,4.229785536241769e+36
1.3819382602178284e+37,7.592596151652562e+37
5.514434568597929e+22,3.014865748134605e+23
4.970394509976092e+22,2.7134351610764083e+23
4.778499411350578e+28,2.7126481921386292e+29
8.885616463232291e+29,4.854517558272187e+30
4.495311615363908e+22,2.456309317577352e+23
4.272536296090296e+28,2.4088951472928364e+29
8.015970368474136e+29,4.374584501137936e+30
4.404507969985088e+34,2.720503099317205e+35
7.696144188113981e+35,4.3762063209604216e+36
1.4349480499895622e+37,7.846201496563084e+37
4.078498205741876e+22,2.2344908227539086e+23
3.8352897553560694e+28,2.1560185386158595e+29
7.256058986220128e+29,3.964739487190944e+30
3.9043897038115784e+34,2.3801216918240953e+35
6.88659364457023e+35,3.890583078487347e+36
1.2955041464102908e+37,7.076956183721605e+37
4.3198084242327556e+40,3.0106738121969673e+41
7.092219965263762e+41,4.3907210338780596e+42
1.242392402796154e+43,7.088469036189656e+43
2.322058055664024e+44,1.2722301664339992e+45
5.762148076841612e+22,3.150951955937097e+23
5.18926406820326e+22,2.831314821187287e+23
4.9945642746203385e+28,2.8314095949933037e+29
9.263469364769012e+29,5.0513732664547844e+30
4.689339324855463e+22,2.559103515508333e+23
4.462283191834721e+28,2.5105113389699943e+29
8.35074100799588e+29,4.5464871822518006e+30
4.60391901664777e+34,2.839973052198797e+35
8.024592185383281e+35,4.5458154207933745e+36
